Thai,English,Romanization,ipa,Exemple sentence
อังคาร,Tuesday,angkhan,ʔaŋ kʰaːn,คนงานรวมตัวปิดกั้นถนนบางนา-ตราดมาตั้งแต่วันอังคาร จนทำให้การจราจรติดขัด
ผลัด,alternate,phlat,pʰlàt,เขาผลัดผ้าขาวม้าที่ริมฝั่ง
ทีหลัง,later; afterward,thilang,tʰiː lǎŋ,ทีหลังคุณแม่จึงจะได้เห็นว่าที่ลูกสะใภ้
สำเนียง,accent,samniang,sǎm niːaŋ,ตัวผมเองก็มีสำเนียงการพูด และกำพืดที่แท้จริงเหมือนกับพวกคุณ
ทัวร์,tour,thua,tʰuːa,สุเทพจัดทัวร์ไปเกาะพีพี
เต็มตัว,fully; mature,temtua,tem tuːa,นักวิเคราะห์ระบบจะต้องรับผิดชอบเต็มตัวถึงผลลัพธ์ของระบบงาน
เคลื่อนย้าย,dislocate; displace; move,khlueanyai,kʰlɯ̂ːan jáːj,อย่าเคลื่อนย้ายสิ่งใดๆภายในห้องนี้เด็ดขาด
สารพัด,carious; assorted,sanphat,sǎː rá pʰát,ปัจจุบันเรามีการประยุกต์เทคโนโลยีคอมพิวเตอร์เข้ากับงานสารพัดชนิด
กุม,hold; grasp,kum,kum,ขณะที่เขากรอกเหล้าเข้าปากแก้วแล้วแก้วเล่า มืออีกข้างของเขาก็เลื่อนมากุมด้ามมีดที่พกอยู่ข้างเอว
น่าเสียดาย,unfortunate; unlucky,nasiadai,nâː sǐːa daːj,การที่ผมต้องเสียลูกไปเป็นสิ่งที่น่าเสียดายที่สุดในชีวิตของผม
ดังเช่น,such as; like,dangchen,daŋ tɕʰên,หากเปรียบเทียบข้อมูลระหว่างรายงานของธนาคารโลกกับรายงานของกรมประมงซึ่งเป็นหน่วยงานที่รับผิดชอบเรื่องกุ้งที่ปากมูลโดยตรง ก็จะพบความไม่ชอบมาพากลในรายงานของธนาคาร ดังเช่น รายได้จากการจับกุ้ง
คำกล่าว,saying; hearsay,khamklao,kʰam klàːw,ปัญหาของเด็กในวัยรุ่นยังพอมีทางปรับปรุงแก้ไขได้เข้าทำนองคำกล่าวที่ว่า ไม้อ่อนดัดง่าย ไม้แก่ดัดยาก นี่เอง
ปุ่ม,button,pum,pùm,เครื่องโทรศัพท์ในปัจจุบันมีทั้งแบบที่เป็นแบบหมุนกับแบบกดปุ่ม
รูปถ่าย,photo,rupthai,rûːp tʰàːj,รูปถ่ายของข้าพเจ้าที่ติดอยู่ข้างฝาห้องรับแขกนั่นเป็นของใหม่
ธุระ,business; duty; affair,thura,tʰúʔ ráʔ,อาทิตย์ไปทำธุระที่ต่างประเทศนานประมาณ 3 เดือน
แต่งหน้า,make up; use cosmetics,taengna,tɛ̀ŋ nâː,เธอไม่ได้แต่งหน้าอย่างทุกคราวที่มา ทำให้หน้าจืดดูซีดคล้ำ
สัญชาตญาณ,instinct,sanchatayan,sǎn tɕʰâːt tà jaːn,มนุษย์จะไม่สามารถควบคุมแรงกระตุ้นจากสัญชาตญาณบางอย่างได้ ซึ่งจะเป็นเหตุให้กระทำสิ่งที่ตนต้องการกระทำ
สมมติ,assume; suppose,sammti,sǒm mút,คอมพิวเตอร์ไม่ใช้คน เราจะสมมติว่ามันรู้เท่าคนไม่ได้
แบบแผน,custom; tradition,baepphaen,bɛ̀ːp pʰɛ̌ːn,ประติมากรรมของไทย นอกจากจะสะท้อนแบบแผนทางวัฒนธรรมแล้ว ยังสะท้อนความเชื่อต่างๆ อีกด้วย
ส่วนกลาง,central; middle,suanklang,sùːan klaːŋ,ความถูกต้องของแผนที่ซึ่งควรที่จะอยู่ที่ส่วนกลาง
ทอดทิ้ง,neglect; abandon,thotthing,tʰɔ̂ːt tʰíŋ,แม่ใจร้ายทอดทิ้งลูกสาววัย 5 เดือน ให้อยู่กับพี่สาววัย 5 ขวบตามลำพัง
ผู้ฟัง,audience; listener,phufang,pʰûː faŋ,การปราศรัยที่สนามหลวงมีผู้ฟังมากมาย
แปรเปลี่ยน,alter; change; transform,praeplian,prɛː plìːan,ที่ทั้งคู่เลิกรากันเพราะนิสัยของเธอแปรเปลี่ยนไป
ผิวหนัง,skin,phionang,pʰǐw nǎŋ,หลังจากออกจากพงหญ้า โกมนก็รู้สึกระคายเคืองที่ผิวหนัง
อ่อนโยน,gentle; tender; soft,onyon,ʔɔ̀ːn joːn,น้ำเสียงนุ่มนวลบอกนิสัยอ่อนโยนของเขา
ปริญญาตรี,bachelor's degree,parinyatri,pà rin jaː triː,เขากลับมาเป็นอาจารย์สอนที่มหาวิทยาลัยเดิมที่จบปริญญาตรี
มงกุฎ,crown,mongkut,moŋ kùt,เธอได้รับมงกุฎเป็นนางสาวไทยคนปัจจุบัน
ท่อง,recite; memorize; wander around,thong,tʰɔ̂ːŋ,ไกรทองท่องไปกลางน้ำเพื่อไปฆ่าชาละวัน
เทอม,term; semester,thoem,tʰɤːm,หลังจากที่ทำการสอนวิขานี้ไปได้ 2 เทอม ผู้เขียนได้หยิบเอกสารนั้นมาอ่านอย่างจริงจังอีกครั้งหนึ่ง
โดดเดี่ยว,solitary,dotdiao,dòːt dìːaw,ถ้าเราออกโรงคัดค้านไปเสียทุกเรื่อง เราก็โดดเดี่ยว มีศัตรูมากกว่ามิตร
แจ่มใส,cheerfully; happy,chaemsai,tɕɛ̀m sǎj,เขากล่าวสรุปในตอนท้ายว่าจีนในวันข้างหน้ามีหนทางแจ่มใสแทบทุกด้าน
แห่,flock; crowd,hae,hɛ̀ː,ชาวบ้านในละแวกนี้แห่กันมาดูรถของเขาราวกับว่ามันเป็นยานอวกาศ
สถาปนิก,architect,sathapanik,sà tʰǎː pà ník,สถาปนิกเป็นผู้กำหนดรูปบ้าน อันได้แก่ ทรวดทรงของบ้านและการจัดห้องต่างๆ
สุทธิ,net,sutthi,sùt tʰíʔ,ปีนี้บริษัทมีกำไรสุทธิรวม 700 ล้านบาท
ดำเนินคดี,sue; prosecute; charge ,damnoenkhadi,dam nɤːn kʰá diː,เขาถูกเจ้าหน้าที่ตำรวจดำเนินคดีข้อหามียาเสพติดในครอบครอง
กง,wheel; rim; circle,kong,koŋ,เขาตรึงยางนอกไว้กับกงล้ออีกชั้นด้วยลวดเพื่อจะได้ไม่ร่อนหลุดออกมา
ประกวด,contest; compete,prakuat,pràʔ kùːat,เธอส่งเรื่องสั้นเข้าประกวด
คาถา,spell; magic,khatha,kʰaː tʰǎː,หมอผีจุดธูปกำโตบริกรรมคาถา
ชิ้นส่วน,part; piece,chinsuan,tɕʰín sùːan,ชิ้นส่วนอุปกรณ์อิเล็กทรอนิกส์และคอมพิวเตอร์เป็นสินค้าส่งออกที่สำคัญของประเทศ
ไขมัน,fat,khaiman,kʰǎj man,ออกกำลังกายด้วยการวิ่งจะช่วยทำให้ไขมันที่ต้นขาลดลง
ดาบ,sword,dap,dàːp,อัศวินในสมัยก่อนนิยมประลองดาบกันบนหลังม้า
อม,suck; embezzle; hide,om,ʔom,ทุกคนต่างคิดว่าเขาอมเงินหาเสียงดังกล่าวไว้คนเดียว
นิติบัญญัติ,legislation,nitibanyat,níʔ tìʔ ban jàt,กฎหมายมีการกำหนดอำนาจนิติบัญญัติ อำนาจบริหาร และอำนาจตุลาการ ไว้อย่างชัดเจน
เบียร์,beer,bia,biːa,เบียร์นี้จืดชืดเหลือเกิน
มหาชน,crowd; group,mahachon,má hǎː tɕʰon,หนังสือของท่านได้รับความนิยมชมชอบจากมหาชน
ชอบธรรม,be righteous; be lawful,choptham,tɕʰɔ̂ːp tʰam,ผู้พิพากษาทุกคนมีความชอบธรรมในการตัดสินคดี
เผย,reveal,phoei,pʰɤ̌ːj,เขาเผยแผนการที่จะแก้แค้นให้ฉันฟังหมดแล้ว
ข้อจำกัด,limitation; restriction,khochamkat,kʰɔ̂ː tɕam kàt,กฎการวิเคราะห์ภาษาไทยมีข้อจำกัดมากมาย
ปริญญาโท,master's degree,parinyatho,pà rin jaː tʰoː,งานวิจัยส่วนใหญ่ทางภาษาศาสตร์เป็นผลงานของนิสิตระดับปริญญาโท
สมานฉันท์,reconciliation; harmony,samanchan,sà maːn ná tɕʰǎn,พวกกุมภัณฑ์ได้ประชุมร่วมปรึกษากันเป็นสมานฉันท์ แล้วพร้อมใจกันสร้างเจดีย์ให้สูงขึ้นไปอีก
ศึกษาธิการ,Ministry of Education,sueksathikan,sɯ̀k sǎː tʰíʔ kaːn,หนังสือฉบับนี้เป็นหนังสือที่กระทรวงศึกษาธิการได้จัดพิมพ์ขึ้น
ใจดี,kind,chaidi,tɕaj diː,เขาใจดีมากที่ยอมให้เราเข้าไปอาศัยอยู่ในบ้านของเขา
เทียม,yoke; harness,thiam,tʰiːam,การโปรยสารเคมีทำฝนเทียมทำให้อากาศสกปรก
วาย,be finished; come to an end,wai,waːj,หล่อนคิดถึงชีวิตที่ค่าย เพราะหล่อนเพิ่งจากมาจึงยังคิดถึงไม่วาย
ทุจริต,corrupt; cheat; betray,thutcharit,tʰút tɕàʔ rìt,ครูที่ทุจริตการสอบกำลังถูกศึกษาธิการจังหวัดสอบสวน
เจ้าตัว,oneself; person concerned,chaotua,tɕâw tuːa,หมอบอกเขาว่าไม่เป็นโรคอะไรร้ายแรง แต่เจ้าตัวยังรู้สึกไม่สบายอยู่เสมอ
ถั่ว,bean; pea; nut,thua,tʰùːa,รัชกาลที่ 6 ทรงห้ามเล่นถั่วเล่นโป
สักหน่อย,a little bit,saknoi,sàk nɔ̀ːj,อากาศเย็นๆ แบบนี้ได้กินอาหารประเภทหม้อไฟร้อนๆ สักหน่อยจะช่วยให้ทั้งอิ่มทั้งอุ่นขึ้นมาทันที
เซน,zen,sen,seːn,นิกายเซน มีแหล่งกำเนิดในเอเชียใต้
คติ,principle; way,khati,kʰá tìʔ,ผู้ที่มีโอกาสจะได้หรือช่องทางที่จะได้มักจะถือคติ น้ำขึ้นให้รีบตัก
ส่าย,swing; sway,sai,sàːj,ว่าวส่ายเพราะลมแรง
พิพิธภัณฑ์,museum,phiphitphan,pʰíʔ pʰít tʰá pʰan,ทรัพย์สมบัติมากมายที่นำมาจากหลุมฝังศพยังคงเก็บอยู่ที่พิพิธภัณฑ์ในกรุงไคโร
ปลอด,free from; solid (of color),plot,plɔ̀ːt,งานของผู้ว่ากรุงเทพมหานครอย่างหนึ่งคือ การปรับปรุงหน่วยงานเทศกิจให้ปลอดจากการรีดไถเงินจากพ่อค้าแม่ค้าตามตลาดต่างๆ
จำแนก,distinguish; classify; segregate,chamnaek,tɕam nɛ̂ːk,บรรณารักษ์จำแนกหนังสือที่ซื้อมาออกเป็นหมวดๆ เพื่อจัดเข้าชั้น
ดอง,be allied to; soak in,dong,dɔːŋ,หลายโครงการต้องถูกดองแช่แข็งไปก่อน
ม่าน,curtain,man,mâːn,การเปิดม่าน ปิดม่าน และเปลี่ยนฉากตามท้องเรื่อง เป็นลักษณะการแสดงแบบละครตะวันตก
ตั๋ว,ticket,tua,tǔːa,พนักงานรับ-ส่งเอกสารไปรับตั๋วที่การบินไทย
ติดใจ,like; impress; doubt; suspect,titchai,tìt tɕaj,เด็กๆ ติดใจภาพที่สวยงามของการ์ตูนเรื่องใหม่ ที่เพิ่งออกอากาศไปเมื่อวานนี้
บริหารงาน,administer; manage,borhhanngan,bɔ̀ʔ ríʔ hǎːn ŋaːn,เขาบริหารงานบริษัทมาตั้งแต่เริ่มตั้งบริษัท
ต้นฉบับ,master copy,tonchabap,tôn tɕʰà bàp,นักเขียนทุกคนต้องส่งต้นฉบับภายในวันศุกร์นี้
บุญคุณ,favour; kindness,bunkhun,bun kʰun,ท่านมีบุญคุณกับผมมาก ชาตินี้คงจะชดใช้ไม่หมด
กระตือรือร้น,enthusiastic,kratuerueron,kràʔ tɯː rɯː rón,คนที่กระตือรือร้นทำงานย่อมทำให้หัวหน้านิยมชมชอบ
พิธีกรรม,rite; worship,phithikam,pʰíʔ tʰiː kam,ตุ๊กตาเสียกบาลเป็นประติมากรรมที่สร้างขึ้นเพื่อใช้ในพิธีกรรมหรือกิจกรรมบางอย่าง
เหลี่ยม,edge; side,liam,lìːam,เด็กใช้ไม้บรรทัดวัดความยาวของสี่เหลี่ยม
เสถียรภาพ,stability; firmness; security,sathianphap,sà tʰǐːan rá pʰâːp,ระบบเศรษฐกิจมหภาคของประเทศไร้เสถียรภาพมาเป็นเวลาช้านาน
โคลน,mud; mire,khlon,kʰloːn,เท้าเจ้าตูบเปื้อนโคลนเต็มไปหมด
เร้า,stimulate; arouse,rao,ráːw,เกมเป็นส่วนหนึ่งของการศึกษา และช่วยเร้าความสนใจของนักเรียนได้
เอดส์,aids,et,ʔèːt,ในปัจจุบันคนยอมรับเรื่องเอดส์มากขึ้น เพราะสถานการณ์เอดส์เข้าใกล้ตัวแล้ว
นวนิยาย,novel; fiction,nawaniyai,ná wá níʔ jaːj,น้องหมูเขาชอบอ่านนวนิยายโดยเฉพาะเรื่องที่ทมยันตีเป็นผู้แต่ง
ธรรมศาสตร์,law; legal science,thammasat,tʰam má sàːt,มหาวิทยาลัยธรรมศาสตร์จัดการประชุมเรื่องที่เกี่ยวข้องกับการเมืองเป็นประจำ
ดวงอาทิตย์,sun,duang-athit,duːaŋ ʔaː tʰít,โลกเราหมุนรอบตัวเองและหมุนรอบดวงอาทิตย์
สรรเสริญ,praise; admire,sansoen,sǎn sɤ̌ːn,ประชาชนต่างพากันสรรเสริญคุณงามความดีที่เขาทำให้กับสังคม
กลมกลืน,harmonious,klomkluen,klom klɯːn,ท่วงทำนองของเพลงกลมกลืนกับเนื้อร้อง
ทัศนคติ,viewpoint; attitude,thatsanakhati,tʰát sà ná kʰá tìʔ,ท่าทีและทัศนคติของพ่อแม่ มีอิทธิพลต่อเด็กมาก
ชั้นนำ,first class; top flight,channam,tɕʰán nam,เพราะเขาได้ดีกรีจากมหาวิทยาลัยชั้นนำเป็นใบเบิกทาง โอกาสจะได้งานและเงินดีจึงมีมาก
ผู้โดยสาร,passenger,phudoisan,pʰûː doːj sǎːn,เจ้าหน้าที่กรมศุลกากรได้ตรวจพบเฮโรอีนในกระเป๋าเดินทางของผู้โดยสารคนหนึ่ง
พนักงานเจ้าหน้าที่,competent official,phanaknganchaonathi,pʰá nák ŋaːn tɕâw nâː tʰîː,ในบางกรณีเจ้าของไม่ต้องขออนุญาตในการก่อสร้างโรงงาน เพียงแจ้งต่อพนักงานเจ้าหน้าที่ก่อนการเปิดโรงงาน
ข้อดี,advantage; merit; good point,khodi,kʰɔ̂ː diː,มนุษย์เรามีข้อดีข้อด้วยแตกต่างกันไป
ที่นอน,bed; mattress,thinon,tʰîː nɔːn,แม่ไปหาที่นอนใต้ร่มไม้เพราะลมพัดเย็น
ยึดถือ,hold; cling to; seize,yuetthue,jɯ́t tʰɯ̌ː,เมื่อเราเลือกทำอะไร จะต้องอาศัยคุณค่าที่ตนยึดถือเป็นเครื่องกำหนดทั้งสิ้น
มณฑล,county; circle,monthon,mon tʰon,ชาวฮั่นอพยพมาจากมณฑลอื่นๆ เพื่อแสวงโชคและหางานทำ
รากฐาน,foundation; groundwork,rakthan,râːk tʰǎːn,ความพยายามเป็นรากฐานของความสำเร็จ
พลเมือง,citizen; population,phonmueang,pʰon lá mɯːaŋ,อินเดีย ประเทศที่มีพลเมืองมากเป็นอันดับ 2 ของโลกกำลังเข้าสู่เทศกาลเลือกตั้ง
ตัวแปร,variable,tuaprae,tuːa prɛː,เวลาเป็นตัวแปรสำคัญที่จะกำหนดว่าคนเราทำงานได้มากหรือน้อย
ปลด,release; remove,plot,plòt,นายกรัฐมนตรีปลดรัฐมนตรีหลายคนออกจากตำแหน่งแล้ว
เป็ด,duck,pet,pèt,เท้าของเป็ดมีพังผืดสำหรับว่ายน้ำ
ชาวต่างชาติ,foreigner,chaotangchat,tɕʰaːw tàːŋ tɕʰâːt,รัฐบาลมีนโยบายส่งเสริมให้ชาวต่างชาติเข้ามาทำการลงทุนในประเทศ
มั่ง,some,mang,mâŋ,เธอต้องอ่านหนังสือล่วงหน้าไว้มั่ง
กฎหมายแพ่ง,civil law,kotmaiphaeng,kòt mǎːj pʰɛ̂ːŋ,สัมปทานมีลักษณะเป็นสัญญาที่มีเงื่อนไข ข้อตกลงมากมายทั้งในแง่กฎหมายมหาชน กฎหมายแพ่ง และแนวทางปฎิบัติในวงการธุรกิจ
ภาพรวม,perspective; overall image,phaphruam,pʰâːp ruːam,ภาพรวมของผู้หญิงยุคใหม่ในสายตาของคนส่วนใหญ่ คือ ผู้หญิงทำงาน
เต่า,turtle,tao,tàw,ทำไมลูกทำอะไรเต่าอย่างนี้ รีบๆ หน่อยได้ไหม
เบื่อหน่าย,monotonously,bueanai,bɯ̀ːa nàːj,นางได้แต่มองการกระทำของลูกชายอย่างเบื่อหน่าย
เลือน,fade; become dim,luean,lɯːan,พวกเขาห่างกันไปหลายปีความจำของทั้งสองฝ่ายจึงเลือนไป
พาน,encounter; meet,phan,pʰaːn,ผู้ที่ต้องการจะบวชจะต้องนำดอกไม้ ธูปเทียนแพ ใส่พานไปลาญาติมิตร
ผลสำเร็จ,success; accomplishment,phonsamret,pʰǒn sǎm rèt,เธอสามารถคว้ารางวัลดารานำฝ่ายหญิงมาครองได้เป็นผลสำเร็จ
เพาะปลูก,cultivate; plant,phopluk,pʰɔ́ʔ plùːk,น้ำท่วมคราวนี้ทำให้เกษตรกรไม่สามารถเพาะปลูกพืชผลต่างๆ ได้
เกรงใจ,have consideration for,krengchai,kreːŋ tɕaj,เขายังย้ำเกี่ยวกับเรื่องการเป็นพรรคทหารอย่างไม่เกรงใจอีกว่าทหารมักจะทำอะไรโดยไม่จำเป็นต้องอธิบายเหตุผล
เปียก,wet; soaked,piak,pìːak,บุรุษพยาบาลช่วยกันหามร่างอันอ่อนเปียกของคนเจ็บขึ้นห้องผ่าตัดโดยด่วน
ปัด,push away; sweep off,pat,pàt,เมื่อสัตว์เลี้ยงเหล่านั้นเดินผ่านไปตามกอหญ้าหางและขาของมันก็จะปัดแมลงต่างๆ
คุณครู,teacher,khunkhru,kʰun kʰruː,ข้าพเจ้าขอขอบคุณคุณครูใหญ่ที่ให้เกียรติมาเป็นประธานในงานวันนี้
ชีวภาพ,biological,chiwaphap,tɕʰiː wá pʰâːp,การสร้างเขื่อนแก่งเสือเต้นกั้นแม่น้ำยมตอนบนจะมีผลกระทบมากต่อทรัพยากรชีวภาพ
ขั้นพื้นฐาน,foundation; basis,khanphuenthan,kʰân pʰɯ́ːn tʰǎːn,การศึกษาระดับประถมศึกษาเป็นการศึกษาที่มุ่งให้ผู้เรียนมีความรู้ความสามารถขั้นพื้นฐาน และสามารถอ่านออกเขียนได้
ธนู,bow and arrow; zodiac sign (arrow),thanu,tʰá nuː,นักกีฬายิงธนูมีความแม่นยำในการยิงเป้าเคลื่อนไหว
ร้าง,abondoned,rang,ráːŋ,ศาลเจ้าต้นกร่าง ปัจจุบันนี้ร้างไปแล้ว
ลอบ,stealthily,lop,lɔ̂ːp,หลายคนคาดว่าอิรักอาจลอบโจมตีที่ตั้งทหารอังกฤษ
ว่างเปล่า,empty,wangplao,wâːŋ plàːw,มนุษย์สามารถทำตัวเองให้อยู่เหนือคำจำกัดความต่างๆ เกี่ยวกับตัวเองได้ เพราะมนุษย์เกิดมาจากความว่างเปล่า
ชะลอ,slow down; postpone,chalo,tɕʰáʔ lɔː,ในขณะที่การลงทุนลดลงเพราะอัตราดอกเบี้ยสูง ส่งผลให้เศรษฐกิจชะลอตัวลงอย่างรวดเร็ว
นายทุน,capitalist,naithun,naːj tʰun,บรรดาพ่อเลี้ยงเหล่านี้ล้วนเป็นนายทุนสนับสนุนนักการเมืองในยามเลือกตั้ง
ปีน,climb,pin,piːn,ผมเคยปีนขึ้นไปดูบนยอดปรางค์พบร่องรอยของการทาสีเช่นกัน
ชดเชย,compensate,chotchoei,tɕʰót tɕʰɤːj,อาจารย์จะชดเชยชั่วโมงสอนให้นักเรียนในตอนเย็นของวันศุกร์
แท็กซี่,taxi,thaeksi,tʰɛ́k sîː,คนที่มาทำงานในกรุงเทพฯ เช่น มาเป็นคนขายส้มตำ คนขับแท็กซี่ ล้วนมีบ้านเดิมอยู่ต่างจังหวัด
ปลดปล่อย,free; release; liberate,plotploi,plòt plɔ̀ːj,ชนกลุ่มน้อยยังคงดำเนินสงครามเพื่อปลดปล่อยตนเองต่อไปหลังจากที่ได้ต่อสู้ขับเคี่ยวกับรัฐบาลกลางมากว่า 40 ปีแล้ว
ส่งเสียง,cry out; roar,songsiang,sòŋ sǐːaŋ,เด็กๆ ส่งเสียงไล่ตามหลังอย่างสนุกพร้อมกับผลัดเปลี่ยนกันถือเชือก
เสร็จสิ้น,finish; end; come to an end,setsin,sèt sîn,พนักงานสอบสวนจะพยายามสรุปสำนวนคดีให้เสร็จสิ้นภายในเดือนนี้
ได้เสีย,gain and loss,daisia,dâj sǐːa,นักพนันมักทุ่มเงินโดยไม่สนว่าได้เสียเท่าไหร่
กบ,frog,kop,kòp,ชาวบ้านนิยมออกไปตีกบตอนกลางคืน
หล่น,drop; fall,lon,lòn,กระถางต้นไม้หล่นลงมาถูกรถยนต์ที่จอดอยู่ข้างล่างเสียหาย
อนุกรรมการ,subcommittee,anukammakan,ʔà núk rɔːn má kaːn,ปัญหานี้จะต้องตั้งอนุกรรมการขึ้นเพื่อพิจารณาอย่างรอบคอบอีกครั้งหนึ่ง
ปลูกฝัง,foster; educate; marry off,plukfang,plùːk fǎŋ,พ่อแม่ของทั้งสองฝ่ายต่างก็ปลูกฝังให้ทั้งสองคนแต่งงานกัน
พี่เลี้ยง,nanny; babysitter,philiang,pʰîː líːaŋ,แม่ต้องจ้างพี่เลี้ยงใหม่ เพราะคนเดิมขอกลับบ้านไปทำนาที่บ้านเกิดแล้ว
ซื่อ,faithfully; honest,sue,sɯ̂ː,ท่าทางสุขุมและยิ้มซื่อของเขา ทำให้เรารู้สึกว่าเขาคือพี่ทองพูน
เท่านี้,just this; as much as this,thaoni,tʰâw níː,พอข้าพเจ้าเอ่ยถึงเรื่องนี้ ท่านก็หูผึ่งว่าเด็กตัวเท่านี้อ่านหนังสือขั้นนั้นเชียวหรือ
ข้อสรุป,conclusion,khosarup,kʰɔ̂ː sà rùp,ข้อสรุปที่ได้จาการประชุมครั้งนี้ มีประโยชน์ต่อการดำเนินงานต่อไปมาก
ธรรมะ,Dharma; code of morals,thamma,tʰam máʔ,พระสงฆ์เป็นผู้มีธรรมะในใจ
แผง,stall,phaeng,pʰɛ̌ːŋ,แถวนี้ไม่ว่าตรอกซอกซอยใดจะต้องเห็นแผงพระเครื่องตั้งเรียงรายไปทั่ว
รม,smoke,rom,rom,ก่อนนำวัตถุดิบมารมด้วยควัน ควรแช่วัตถุดิบในน้ำเกลือแล้วจึงนำไปผึ่งแดดให้ผิวแห้งหมาดเสียก่อน
คลี่คลาย,improve; solve (a case),khlikhlai,kʰlîː kʰlaːj,สถานการณ์ตึงเครียดของบ้านเมืองจะคลี่คลายลงด้วยดี
ความยุติธรรม,justice,khwamyutitham,kʰwaːm jút tìʔ tʰam má,สัจจะและความยุติธรรมเป็นสิ่งมีค่าสูงสุดที่ชาวอเมริกันทุกคนแสวงหา
ซ้อม,rehearse; train,som,sɔ́ːm,นักเรียนซ้อมเต้นรำทุกวัน เนื่องจากต้องไปแสดงในงานของโรงเรียน
ต่างด้าว,alien; foreign,tangdao,tàːŋ dâːw,ปีนี้มีต่างด้าวลักลอบเข้าเมืองกว่าหมื่นคน
ดวงดาว,stars,duangdao,duːaŋ daːw,ดวงดาวมากมายทอประกายวิบวับ-วับวาวสวยกว่าคืนไหนๆ
ปีใหม่,new year,pimai,piː màj,คนจีนทำความสะอาดบ้านเพื่อต้อนรับเทศกาลปีใหม่
ชิม,to taste,chim,tɕʰim,แม่ครัวมักชิมอาหารทุกครั้ง เพื่อให้ได้รสชาติที่อร่อยถูกปาก
อ้าย,eldest brother; first,ai,ʔâːj,เดือนอ้ายเป็นเดือนแรกตามปฏิทินจันทรคติ
อัยการ,prosecutor,aikan,ʔaj já kaːn,ทนายจำเลยค้านคำถามของอัยการในการพิจารณคดีที่ศาล
ห้วย,creek; stream,huai,hûaj,วันนี้หล่อนจะไปเก็บผักกูดตามริมห้วยมาไว้ทำกับข้าวมื้อเย็น
คำปรึกษา,suggestion; mark,khamprueksa,kʰam prɯ̀k sǎː,ทุกคนควรถนอมสายตาด้วยตนเองเพราะแพทย์เป็นแต่เพียงผู้ให้คำปรึกษาแนะนำเท่านั้น
ตะวัน,sun,tawan,tàʔ wan,เขานั่งคุยกันจนตะวันของวันใหม่ส่องแสงถึงได้รู้ว่าเช้าแล้ว
หั่น,cut; slice,han,hàn,ในการกินผลไม้บางอย่าง เราจำเป็นต้องปอกเปลือก แล้วหั่นเป็นชิ้นเล็กๆ ก่อนรับประทาน
คุ้น,familiar; intimate,khun,kʰún,ผมคุ้นกับผู้จัดการธนาคารแห่งนี้ดี
รุม,crowd around; encircle,rum,rum,ย่าสั่งให้แม่บ้านเคี่ยวน้ำตาลโดยใช้ไฟรุมๆ
คัมภีร์,holy book,khamphi,kʰam pʰiː,คนไทยโบราณมักเป็นผู้ที่เจนจบในคัมภีร์พระเวทและศาสตร์ทั้งหลาย เช่น โหราศาสตร์ ไวยศาสตร์ ศิลปศาสตร์ เป็นต้น
รก,messy; cluttered,rok,rók,ทางไปนครปฐมในสมัยก่อนเต็มไปด้วยคูคลอง ร่องสวน ทุ่งนา และป่ารก
มะเร็ง,cancer,mareng,máʔ reŋ,อดีตนายกรัฐมนตรีบินด่วนไปผ่าตัดมะเร็งในตับที่ประเทศอังกฤษ
บรรณาธิการ,editor,bannathikan,ban naː tʰíʔ kaːn,ข้อแก้ไขของบรรณาธิการทำให้เรื่องเสียความไป
หยด,drop,yot,jòt,น้ำจากเนื้อปลาบนตะแกรงหยดใส่ถ่านกลิ่นหอมฉุย
ของเล่น,toy,khonglen,kʰɔ̌ːŋ lên,เด็กๆ วิ่งกรูเข้าไปหาและร้องด้วยความตื่นเต้นดีใจที่เห็นแม่ซื้อของเล่นชนิดใหม่มาฝาก
เทศกาล,festival; feast,thetkan,tʰêːt sà kaːn,ในการละเล่นตามเทศกาลงานบุญตามหมู่บ้าน ผู้หญิงมักเป็นกลุ่มผู้นำในการเล่น
เปรียบเสมือน,liken; be compared as,priapsamuean,prìːap sà mɯ̌ːan,ความบริสุทธิ์สดใสของเด็กเปรียบเสมือนผ้าขาวไร้มลทิน
เช็ด,wipe; rub,chet,tɕʰét,เขายกแขนเช็ดเหงื่อบนหน้าผาก
หลาก,flood,lak,làːk,บริเวณบ้านเป็นที่ลุ่ม พอถึงหน้าฝนน้ำจะหลากท่วมทุ่งไร่ ทุ่งนา จนหมดสิ้น
ศุกร์,friday,sukka,sùk,ผู้ที่เกิดวันศุกร์จะมีนิสัยประจำตัวคือเป็นคนเจ้าอารมณ์
ข้างหลัง,behind; back,khanglang,kʰâːŋ lǎŋ,รถเขาสามารถบรรจุของได้จำนวนมากเพราะข้างหลังมีเนื้อที่กว้างมาก
ลงนาม,sign; autograph,longnam,loŋ naːm,ประธานาธิบดีลงนามแต่งตั้งนายกรัฐมนตรีและคณะรัฐมนตรี
แอร์,air conditioner,ae,ʔɛː,ห้องนี้แอร์มันเย็นจนผมรู้สึกหนาว
วิถีทาง,way; means; method,withithang,wíʔ tʰǐː tʰaːŋ,ตอนนี้เราต้องทำทุกวิถีทางที่จะประคองธุรกิจให้อยู่รอด
เหม็น,smell; stink,men,měn,ข่าวยาเสพย์ติดมีชื่อนักการเมืองเข้าไปพัวพันจนทำให้ชื่อเสียงของนักการเมืองเหม็นเน่าไปตามๆ กัน
